Name,Group,SMARTS,Author,Article,Alert_ID,Endpoint,Endpoint_index
Aliphatic halide,"R = (halogen substituted) hydrocarbon chain; X = F, Cl, Br; compounds containing halogen atom at 尾-positions from unsaturations are exluded","NOT [!#6!#1!F!Cl!Br] AND [F,Cl,Br][C!R][C&!$(C(=,#C)[C!R][F,Cl,Br])]","Verhaar,H.J.M., Leeuwen, C.J., Hermens, J.L.M., ",CLASSIFYING ENVIRONMENTAL POLLUTANTS. 1: STRUCTURE-ACTIVITY RELATIONSHIPS FOR PREDICTION OF AQUATIC TOXICITY,TA655,Acute_Aquatic_Toxicity,0
Hydrocarbons,Molecules containing only C and H atoms,NOT [!#1!#6],"Verhaar,H.J.M., Leeuwen, C.J., Hermens, J.L.M., ",CLASSIFYING ENVIRONMENTAL POLLUTANTS. 1: STRUCTURE-ACTIVITY RELATIONSHIPS FOR PREDICTION OF AQUATIC TOXICITY,TA656,Acute_Aquatic_Toxicity,0
Halogen substituted mono- and polycyclic hydrocarbons,"X = F, Cl, Br","NOT [!#6!#1!F!Cl!Br] AND [CX4!R0][F,Cl,Br] AND NOT [CX4!R0]([F,Cl,Br])[C!R0]=,#[C!R0] AND NOT [CX4]([F,Cl,Br])a","Verhaar,H.J.M., Leeuwen, C.J., Hermens, J.L.M., ",CLASSIFYING ENVIRONMENTAL POLLUTANTS. 1: STRUCTURE-ACTIVITY RELATIONSHIPS FOR PREDICTION OF AQUATIC TOXICITY,TA657,Acute_Aquatic_Toxicity,0
Ethers,"R = alkyl carbon atom; linear ethers or monocyclic mono-ethers, but not epoxides or peroxides","NOT [!#6!#1!#8] AND [$([CX4!R][OX2;!$(O(C1)C1);!$([OX2][OX2])][CX4!R]),$([CX4]1[   ","Verhaar,H.J.M., Leeuwen, C.J., Hermens, J.L.M., ",CLASSIFYING ENVIRONMENTAL POLLUTANTS. 1: STRUCTURE-ACTIVITY RELATIONSHIPS FOR PREDICTION OF AQUATIC TOXICITY,TA658,Acute_Aquatic_Toxicity,0
Aliphatic alcohols,R = alkyl carbon atom; compounds containing hydroxy group at 尾-positions from unsaturations are exluded,"NOT [!#6!#1!#8] AND [OX2H1][CX4][C!$(C(=,#C)[CX4][OX2H1])]","Verhaar,H.J.M., Leeuwen, C.J., Hermens, J.L.M., ",CLASSIFYING ENVIRONMENTAL POLLUTANTS. 1: STRUCTURE-ACTIVITY RELATIONSHIPS FOR PREDICTION OF AQUATIC TOXICITY,TA659,Acute_Aquatic_Toxicity,0
Aromatic alcohols,Ar = any aromatic atom; phenols or benzylic alcohols are excluded,"NOT [!#6!#1!#8] AND [a;!$(a-[OH1]);!$(a[CX4][OH1])][$(C~[CX4][OH1]),$(C~C~[CX4][   ","Verhaar,H.J.M., Leeuwen, C.J., Hermens, J.L.M., ",CLASSIFYING ENVIRONMENTAL POLLUTANTS. 1: STRUCTURE-ACTIVITY RELATIONSHIPS FOR PREDICTION OF AQUATIC TOXICITY,TA660,Acute_Aquatic_Toxicity,0
Ketones,"R = alkyl carbon atom; 伪, 尾-unsaturated ketones are excluded",NOT [!#6!#1!#8] AND [CX4][CX3](=[OX1])[CX4],"Verhaar,H.J.M., Leeuwen, C.J., Hermens, J.L.M., ",CLASSIFYING ENVIRONMENTAL POLLUTANTS. 1: STRUCTURE-ACTIVITY RELATIONSHIPS FOR PREDICTION OF AQUATIC TOXICITY,TA661,Acute_Aquatic_Toxicity,0
Aliphatic secondary and tertiary amines,R = aliphatic carbon atom,"NOT [!#6!#1!#7] AND [$([NX3H1](C)C),$([NX3](C)(C)C)]","Verhaar,H.J.M., Leeuwen, C.J., Hermens, J.L.M., ",CLASSIFYING ENVIRONMENTAL POLLUTANTS. 1: STRUCTURE-ACTIVITY RELATIONSHIPS FOR PREDICTION OF AQUATIC TOXICITY,TA662,Acute_Aquatic_Toxicity,0
Weakly acidic phenols (nitro-substituted),"Phenols containing one nitro substituent, and/or one to three chlorine substituents, and/or alkyl substituents","NOT [!#1!#6!#7!#8!#16!F!Cl!Br] AND [$(c1([OH1])c([$([NX3](=[OX1])=[OX1]),$([NX3+   ","Verhaar,H.J.M., Leeuwen, C.J., Hermens, J.L.M., ",CLASSIFYING ENVIRONMENTAL POLLUTANTS. 1: STRUCTURE-ACTIVITY RELATIONSHIPS FOR PREDICTION OF AQUATIC TOXICITY,TA663,Acute_Aquatic_Toxicity,0
Mononitroaromatics,Y = one ot two -Cl and/ or alkyl substituents,"NOT [!#1!#6!#7!#8!#16!F!Cl!Br] AND [$(c1([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1]   ","Verhaar,H.J.M., Leeuwen, C.J., Hermens, J.L.M., ",CLASSIFYING ENVIRONMENTAL POLLUTANTS. 1: STRUCTURE-ACTIVITY RELATIONSHIPS FOR PREDICTION OF AQUATIC TOXICITY,TA664,Acute_Aquatic_Toxicity,0
Primary alkylamines,"R = alkyl; molecules containing only C, H and N atoms",NOT [!#6!#1!#7] AND [NX3H2][CX4],"Verhaar,H.J.M., Leeuwen, C.J., Hermens, J.L.M., ",CLASSIFYING ENVIRONMENTAL POLLUTANTS. 1: STRUCTURE-ACTIVITY RELATIONSHIPS FOR PREDICTION OF AQUATIC TOXICITY,TA665,Acute_Aquatic_Toxicity,0
Epoxide or azaridine,R = any atom/ group,"NOT [!#1!#6!#7!#8!#16!F!Cl!Br] AND [CX4]1[OX2,NX3][CX4]1","Verhaar,H.J.M., Leeuwen, C.J., Hermens, J.L.M., ",CLASSIFYING ENVIRONMENTAL POLLUTANTS. 1: STRUCTURE-ACTIVITY RELATIONSHIPS FOR PREDICTION OF AQUATIC TOXICITY,TA666,Acute_Aquatic_Toxicity,0
Activated alkenes and alkynes,"R = any atom/ group; R1 = -C=O, -CN, -C(O)N, -NO2, -SO2","NOT [!#1!#6!#7!#8!#16!F!Cl!Br] AND [$(C=,#C[$(C=O),$(C(=[OX1])[OX2]),$(C#N),$([N   ","Verhaar,H.J.M., Leeuwen, C.J., Hermens, J.L.M., ",CLASSIFYING ENVIRONMENTAL POLLUTANTS. 1: STRUCTURE-ACTIVITY RELATIONSHIPS FOR PREDICTION OF AQUATIC TOXICITY,TA667,Acute_Aquatic_Toxicity,0
Hydrazines,R = any atom/ group,NOT [!#1!#6!#7!#8!#16!F!Cl!Br] AND [NX3H1][NX3H1],"Verhaar,H.J.M., Leeuwen, C.J., Hermens, J.L.M., ",CLASSIFYING ENVIRONMENTAL POLLUTANTS. 1: STRUCTURE-ACTIVITY RELATIONSHIPS FOR PREDICTION OF AQUATIC TOXICITY,TA668,Acute_Aquatic_Toxicity,0
Azo compounds,R = any carbon atom,NOT [!#1!#6!#7!#8!#16!F!Cl!Br] AND [#6][NX2]=[NX2][#6],"Verhaar,H.J.M., Leeuwen, C.J., Hermens, J.L.M., ",CLASSIFYING ENVIRONMENTAL POLLUTANTS. 1: STRUCTURE-ACTIVITY RELATIONSHIPS FOR PREDICTION OF AQUATIC TOXICITY,TA669,Acute_Aquatic_Toxicity,0
"Diazo, azido and triazene compounds",R = any carbon atom,"NOT [!#1!#6!#7!#8!#16!F!Cl!Br] AND [$([#6][NX2]=[NX2+]=N),$([#6][NX2]=[NX2+]=[NX   ","Verhaar,H.J.M., Leeuwen, C.J., Hermens, J.L.M., ",CLASSIFYING ENVIRONMENTAL POLLUTANTS. 1: STRUCTURE-ACTIVITY RELATIONSHIPS FOR PREDICTION OF AQUATIC TOXICITY,TA670,Acute_Aquatic_Toxicity,0
Activated and allylic/ propargylic nitriles,R = any atom/ group,"NOT [!#1!#6!#7!#8!#16!F!Cl!Br] AND [$([NX1]#[CX2][CX4][OH1]),$([NX1]#[CX2][CX2]#[CX2])]","Verhaar,H.J.M., Leeuwen, C.J., Hermens, J.L.M., ",CLASSIFYING ENVIRONMENTAL POLLUTANTS. 1: STRUCTURE-ACTIVITY RELATIONSHIPS FOR PREDICTION OF AQUATIC TOXICITY,TA671,Acute_Aquatic_Toxicity,0
Acid anhydrides,R = any atom/ group,NOT [!#1!#6!#7!#8!#16!F!Cl!Br] AND [CX3](=[OX1])[OX2][CX3](=[OX1]),"Verhaar,H.J.M., Leeuwen, C.J., Hermens, J.L.M., ",CLASSIFYING ENVIRONMENTAL POLLUTANTS. 1: STRUCTURE-ACTIVITY RELATIONSHIPS FOR PREDICTION OF AQUATIC TOXICITY,TA672,Acute_Aquatic_Toxicity,0
Lactones,SMARTS: ,NOT [!#1!#6!#7!#8!#16!F!Cl!Br] AND [CX4R][CX3R](=[OX1])[OX2R][CX4R],"Verhaar,H.J.M., Leeuwen, C.J., Hermens, J.L.M., ",CLASSIFYING ENVIRONMENTAL POLLUTANTS. 1: STRUCTURE-ACTIVITY RELATIONSHIPS FOR PREDICTION OF AQUATIC TOXICITY,TA673,Acute_Aquatic_Toxicity,0
Acid halides,"R = any atom/ group; X = F, Cl, Br","NOT [!#1!#6!#7!#8!#16!F!Cl!Br] AND [Br,Cl,F,I][CX3](=[OX1])[#1,*&!$([OH1])&!$([SH1])]","Verhaar,H.J.M., Leeuwen, C.J., Hermens, J.L.M., ",CLASSIFYING ENVIRONMENTAL POLLUTANTS. 1: STRUCTURE-ACTIVITY RELATIONSHIPS FOR PREDICTION OF AQUATIC TOXICITY,TA674,Acute_Aquatic_Toxicity,0
Carbamoylhalides,R = any atom/ group,NOT [!#1!#6!#7!#8!#16!F!Cl!Br] AND Cl[CX3](=[OX1])[NX3],"Verhaar,H.J.M., Leeuwen, C.J., Hermens, J.L.M., ",CLASSIFYING ENVIRONMENTAL POLLUTANTS. 1: STRUCTURE-ACTIVITY RELATIONSHIPS FOR PREDICTION OF AQUATIC TOXICITY,TA675,Acute_Aquatic_Toxicity,0
Ketenes,R = any atom/ group,NOT [!#1!#6!#7!#8!#16!F!Cl!Br] AND [OX1]=[CX2]=C,"Verhaar,H.J.M., Leeuwen, C.J., Hermens, J.L.M., ",CLASSIFYING ENVIRONMENTAL POLLUTANTS. 1: STRUCTURE-ACTIVITY RELATIONSHIPS FOR PREDICTION OF AQUATIC TOXICITY,TA676,Acute_Aquatic_Toxicity,0
Aldehydes,R = any carbon atom,"NOT [!#1!#6!#7!#8!#16!F!Cl!Br] AND [#1,#6][CX3]([H])(=[OX1])","Verhaar,H.J.M., Leeuwen, C.J., Hermens, J.L.M., ",CLASSIFYING ENVIRONMENTAL POLLUTANTS. 1: STRUCTURE-ACTIVITY RELATIONSHIPS FOR PREDICTION OF AQUATIC TOXICITY,TA677,Acute_Aquatic_Toxicity,0
Isocyanates,R = any atom/ group,NOT [!#1!#6!#7!#8!#16!F!Cl!Br] AND [NX2]=[CX2]=[OX1],"Verhaar,H.J.M., Leeuwen, C.J., Hermens, J.L.M., ",CLASSIFYING ENVIRONMENTAL POLLUTANTS. 1: STRUCTURE-ACTIVITY RELATIONSHIPS FOR PREDICTION OF AQUATIC TOXICITY,TA678,Acute_Aquatic_Toxicity,0
Thiocyanates,R = any atom/ group,NOT [!#1!#6!#7!#8!#16!F!Cl!Br] AND [SX2][CX2]#[NX1],"Verhaar,H.J.M., Leeuwen, C.J., Hermens, J.L.M., ",CLASSIFYING ENVIRONMENTAL POLLUTANTS. 1: STRUCTURE-ACTIVITY RELATIONSHIPS FOR PREDICTION OF AQUATIC TOXICITY,TA679,Acute_Aquatic_Toxicity,0
Isothiocyanates,R = any atom/ group,NOT [!#1!#6!#7!#8!#16!F!Cl!Br] AND [NX2]=[CX2]=[SX1],"Verhaar,H.J.M., Leeuwen, C.J., Hermens, J.L.M., ",CLASSIFYING ENVIRONMENTAL POLLUTANTS. 1: STRUCTURE-ACTIVITY RELATIONSHIPS FOR PREDICTION OF AQUATIC TOXICITY,TA680,Acute_Aquatic_Toxicity,0
Disulphides,R = any carbon atom,NOT [!#1!#6!#7!#8!#16!F!Cl!Br] AND [#6][SX2][SX2][#6],"Verhaar,H.J.M., Leeuwen, C.J., Hermens, J.L.M., ",CLASSIFYING ENVIRONMENTAL POLLUTANTS. 1: STRUCTURE-ACTIVITY RELATIONSHIPS FOR PREDICTION OF AQUATIC TOXICITY,TA681,Acute_Aquatic_Toxicity,0
Sulphonic esters,R = any carbon atom,NOT [!#1!#6!#7!#8!#16!F!Cl!Br] AND [#6][Sv6X4](=[OX1])(=[OX1])[OX2][#6],"Verhaar,H.J.M., Leeuwen, C.J., Hermens, J.L.M., ",CLASSIFYING ENVIRONMENTAL POLLUTANTS. 1: STRUCTURE-ACTIVITY RELATIONSHIPS FOR PREDICTION OF AQUATIC TOXICITY,TA682,Acute_Aquatic_Toxicity,0
Sulphuric esters,R = any carbon atom,NOT [!#1!#6!#7!#8!#16!F!Cl!Br] AND [OH1][Sv6X4](=[OX1])(=[OX1])[OX2][#6],"Verhaar,H.J.M., Leeuwen, C.J., Hermens, J.L.M., ",CLASSIFYING ENVIRONMENTAL POLLUTANTS. 1: STRUCTURE-ACTIVITY RELATIONSHIPS FOR PREDICTION OF AQUATIC TOXICITY,TA683,Acute_Aquatic_Toxicity,0
Cyclic sulphonic/ sulphuric esters,R = any atom/ group,"NOT [!#1!#6!#7!#8!#16!F!Cl!Br] AND [$([CR][SX4R](=[OX1])(=[OX1])[OX2R]),$([OX2R][SX4R](=[OX1])(=[OX1])[OX2R])]","Verhaar,H.J.M., Leeuwen, C.J., Hermens, J.L.M., ",CLASSIFYING ENVIRONMENTAL POLLUTANTS. 1: STRUCTURE-ACTIVITY RELATIONSHIPS FOR PREDICTION OF AQUATIC TOXICITY,TA684,Acute_Aquatic_Toxicity,0
伪-Haloethers,"R = any atom/ group; R1 = any carbon atom (except carbonyl carbon); X = F, Cl, Br","NOT [!#1!#6!#7!#8!#16!F!Cl!Br] AND [#6;!$(C(=O)[OX2])][OX2][CX4][F,Cl,Br]","Verhaar,H.J.M., Leeuwen, C.J., Hermens, J.L.M., ",CLASSIFYING ENVIRONMENTAL POLLUTANTS. 1: STRUCTURE-ACTIVITY RELATIONSHIPS FOR PREDICTION OF AQUATIC TOXICITY,TA685,Acute_Aquatic_Toxicity,0
尾-Haloethers,"R = any carbon atom (exclude carbonyl carbon); R1 = any atom/ group; X = F, Cl, Br","NOT [!#1!#6!#7!#8!#16!F!Cl!Br] AND [#6;!$(C(=O)[OX2])][OX2][CX4][CX4][F,Cl,Br]","Verhaar,H.J.M., Leeuwen, C.J., Hermens, J.L.M., ",CLASSIFYING ENVIRONMENTAL POLLUTANTS. 1: STRUCTURE-ACTIVITY RELATIONSHIPS FOR PREDICTION OF AQUATIC TOXICITY,TA686,Acute_Aquatic_Toxicity,0
Nitrogen mustards,R = any atom/ group,"NOT [!#1!#6!#7!#8!#16!F!Cl!Br] AND [#7X3;0][CH2][CH2][F,Cl,Br]","Verhaar,H.J.M., Leeuwen, C.J., Hermens, J.L.M., ",CLASSIFYING ENVIRONMENTAL POLLUTANTS. 1: STRUCTURE-ACTIVITY RELATIONSHIPS FOR PREDICTION OF AQUATIC TOXICITY,TA687,Acute_Aquatic_Toxicity,0
Sulphur mustards,R = any atom/ group,"NOT [!#1!#6!#7!#8!#16!F!Cl!Br] AND [#16X2;0][CH2][CH2][F,Cl,Br]","Verhaar,H.J.M., Leeuwen, C.J., Hermens, J.L.M., ",CLASSIFYING ENVIRONMENTAL POLLUTANTS. 1: STRUCTURE-ACTIVITY RELATIONSHIPS FOR PREDICTION OF AQUATIC TOXICITY,TA688,Acute_Aquatic_Toxicity,0
DDT聽(dichlorodiphenyltrichloroethane) and analogues,Class 4 type compounds (compounds and groups of compounds acting by a specific mechanism),c1cc(ccc1[CH1](C(Cl)(Cl)Cl)c1ccc(cc1)Cl)Cl,"Verhaar,H.J.M., Leeuwen, C.J., Hermens, J.L.M., ",CLASSIFYING ENVIRONMENTAL POLLUTANTS. 1: STRUCTURE-ACTIVITY RELATIONSHIPS FOR PREDICTION OF AQUATIC TOXICITY,TA689,Acute_Aquatic_Toxicity,0
(Dithio) carbamates,R = any atom/ group,"[OX2,SX2][CX3](=[OX1,SX1])[NX3]","Verhaar,H.J.M., Leeuwen, C.J., Hermens, J.L.M., ",CLASSIFYING ENVIRONMENTAL POLLUTANTS. 1: STRUCTURE-ACTIVITY RELATIONSHIPS FOR PREDICTION OF AQUATIC TOXICITY,TA690,Acute_Aquatic_Toxicity,0
"Compounds containing C, H, O and halogen atoms",R = alkyl carbon atom; Ar = any aromatic atom,NOT [!#6!#1!#8!F!Cl!Br] AND [$([$([CX4!R][OX2;!$(O(C1)C1);!$([OX2][OX2])][CX4!R]   ,"Verhaar,H.J.M., Leeuwen, C.J., Hermens, J.L.M., ",CLASSIFYING ENVIRONMENTAL POLLUTANTS. 1: STRUCTURE-ACTIVITY RELATIONSHIPS FOR PREDICTION OF AQUATIC TOXICITY,TA691,Acute_Aquatic_Toxicity,0
