Name	Group	SMARTS	Author	Article	Alert_ID	Reject	Accept
β-lactones and γ- sultones	Acylating and alkylating, Direct Acting Agents	[$([OX2]1[CX4][CX4][CX3]1(=[OX1])),$([CX4]1[CX4][CX4][Sv6;X4](=[OX1])(=[OX1])[OX2]1)]	Benigni, R, Bossa, C, Tcheremenskaia, O, 	Nongenotoxic carcinogenicity of chemicals: mechanisms of action and early recognition through a new set of structural alerts.	TA3024		['[$([OX2]1[CX4][CX4][CX3]1(=[OX1])),$([CX4]1[CX4][CX4][Sv6;X4](=[OX1])(=[OX1])[OX2]1)]']
Epoxides and aziridines	R = any atom/ group	[CX4]1[OX2,NX3][CX4]1	Benigni, R, Bossa, C, Tcheremenskaia, O, 	Nongenotoxic carcinogenicity of chemicals: mechanisms of action and early recognition through a new set of structural alerts.	TA3025		['[CX4]1[OX2,NX3][CX4]1']
Aliphatic halogens	R = any atom/ group; X = Cl, Br, I	[CX4;!H0][Br,Cl,I]	Benigni, R, Bossa, C, Tcheremenskaia, O, 	Nongenotoxic carcinogenicity of chemicals: mechanisms of action and early recognition through a new set of structural alerts.	TA3026		['[CX4;!H0][Br,Cl,I]']
Alkyl nitrite	R = any alkyl group	[OX1]=[NX2][OX2][CX4]	Benigni, R, Bossa, C, Tcheremenskaia, O, 	Nongenotoxic carcinogenicity of chemicals: mechanisms of action and early recognition through a new set of structural alerts.	TA3027		['[OX1]=[NX2][OX2][CX4]']
α,β unsaturated carbonyls	Acylating, Direct Acting Agents	[CX3](=[OX1])[CX3H1]=[CX3]	Benigni, R, Bossa, C, Tcheremenskaia, O, 	Nongenotoxic carcinogenicity of chemicals: mechanisms of action and early recognition through a new set of structural alerts.	TA3028		['[CX3](=[OX1])[CX3H1]=[CX3]']
Simple aldehyde	R = aliphatic or aromatic carbon; α,β-unsaturated aldehydes are excluded	[CX3]([H])(=[OX1])[#1,#6&!$([CX3]=[CX3])]	Benigni, R, Bossa, C, Tcheremenskaia, O, 	Nongenotoxic carcinogenicity of chemicals: mechanisms of action and early recognition through a new set of structural alerts.	TA3029		['[CX3]([H])(=[OX1])[#1,#6&!$([CX3]=[CX3])]']
Quinones	Acylating, Direct Acting Agents	[$([#6X3]1=,:[#6X3]-,:[#6X3](=[OX1])-,:[#6X3]=,:[#6X3]-,:[#6X3]1(=[OX1])),$([#6X3]1(=[OX1])-,:[#6X3](=[OX1])-,:[#6X3]=,:[#6X3]-,:[#6X3]=,:[#6X3]1)]	Benigni, R, Bossa, C, Tcheremenskaia, O, 	Nongenotoxic carcinogenicity of chemicals: mechanisms of action and early recognition through a new set of structural alerts.	TA3030		['[$([#6X3]1=,:[#6X3]-,:[#6X3](=[OX1])-,:[#6X3]=,:[#6X3]-,:[#6X3]1(=[OX1])),$([#6X3]1(=[OX1])-,:[#6X3](=[OX1])-,:[#6X3]=,:[#6X3]-,:[#6X3]=,:[#6X3]1)]']
Hydrazine	R = any atom/ group	[NX3;!$([NX3](=[OX1])=[OX1]);!$([NX3+](=[OX1])[O-])][NX3;!$([NX3](=[OX1])=[OX1]);!$([NX3+](=[OX1])[O-])]	Benigni, R, Bossa, C, Tcheremenskaia, O, 	Nongenotoxic carcinogenicity of chemicals: mechanisms of action and early recognition through a new set of structural alerts.	TA3031		['[NX3;!$([NX3](=[OX1])=[OX1]);!$([NX3+](=[OX1])[O-])][NX3;!$([NX3](=[OX1])=[OX1]);!$([NX3+](=[OX1])[O-])]']
Aliphatic azo and azoxy	R1 = aliphatic carbon or hydrogen; R2, R3 = any atom/group; R4 = aliphatic carbon	[$([C,#1][NX2]=[NX2][C,#1]),$([CX3]=[NX2+]=N),$([CX3]=[NX2+]=[NX1-]),$([CX3-][NX2+]#[NX1]),$([CX3][NX2]#[NX1]),$(C[NX2]=N(=O)[*]),$(C[NX2]=[N+]([O-])[*])]	Benigni, R, Bossa, C, Tcheremenskaia, O, 	Nongenotoxic carcinogenicity of chemicals: mechanisms of action and early recognition through a new set of structural alerts.	TA3032		['[$([C,#1][NX2]=[NX2][C,#1]),$([CX3]=[NX2+]=N),$([CX3]=[NX2+]=[NX1-]),$([CX3-][NX2+]#[NX1]),$([CX3][NX2]#[NX1]),$(C[NX2]=N(=O)[*]),$(C[NX2]=[N+]([O-])[*])]']
Isocyanate and isothiocyanate groups	R = any atom/ group	[NX2]=[CX2]=[OX1,Sv2X1]	Benigni, R, Bossa, C, Tcheremenskaia, O, 	Nongenotoxic carcinogenicity of chemicals: mechanisms of action and early recognition through a new set of structural alerts.	TA3033		['[NX2]=[CX2]=[OX1,Sv2X1]']
Alkyl carbamate and thiocarbamate	R = aliphatic carbon or hydrogen; R1 = aliphatic carbon	[NX3]([C,#1])([C,#1])[CX3](=[OX1,Sv2X1])[OX2,Sv2X2]C	Benigni, R, Bossa, C, Tcheremenskaia, O, 	Nongenotoxic carcinogenicity of chemicals: mechanisms of action and early recognition through a new set of structural alerts.	TA3034		['[NX3]([C,#1])([C,#1])[CX3](=[OX1,Sv2X1])[OX2,Sv2X2]C']
Polycyclic Aromatic Hydrocarbons	Three or more fused rings, not heteroaromatic	[$([cX3R3]),$([cX3;R1,R2,R3]1[cX3;R1,R2,R3][cX3;R1,R2,R3][cX3;R1,R2,R3][cX3;R2,R3]2[cX3;R2,R3]1[cX3;R1,R2,R3][cX3;R2,R3]3[cX3;R2,R3]([cX3;R1,R2,R3]2)[cX3;R1,R2,R3][cX3;R1,R2,R3][cX3;R1,R2,R3][cX3;R1,R2,R3]3)].[!$([n,o,s])]	Benigni, R, Bossa, C, Tcheremenskaia, O, 	Nongenotoxic carcinogenicity of chemicals: mechanisms of action and early recognition through a new set of structural alerts.	TA3035		['[$([cX3R3]),$([cX3;R1,R2,R3]1[cX3;R1,R2,R3][cX3;R1,R2,R3][cX3;R1,R2,R3][cX3;R2,R3]2[cX3;R2,R3]1[cX3;R1,R2,R3][cX3;R2,R3]3[cX3;R2,R3]([cX3;R1,R2,R3]2)[cX3;R1,R2,R3][cX3;R1,R2,R3][cX3;R1,R2,R3][cX3;R1,R2,R3]3)].[!$([n,o,s])]']
Heterocyclic Polycyclic Aromatic Hydrocarbons	Three or more fused rings, heteroaromatic	[$([aR3].[n,o,s]),$([$([aR2]([aR])([aR])([aR]))].[$([aR2]([aR])([aR])([aR]))].[$([aR2]([aR])([aR])([aR]))].[$([aR2]([aR])([aR])([aR]))].[n,o,s])]	Benigni, R, Bossa, C, Tcheremenskaia, O, 	Nongenotoxic carcinogenicity of chemicals: mechanisms of action and early recognition through a new set of structural alerts.	TA3036		['[$([aR3].[n,o,s]),$([$([aR2]([aR])([aR])([aR]))].[$([aR2]([aR])([aR])([aR]))].[$([aR2]([aR])([aR])([aR]))].[$([aR2]([aR])([aR])([aR]))].[n,o,s])]']
